Membership ID,Loan Number ,group no,share amt,Loan Type,Loan Date,Reason For Loan ,Amount,Rate,months of installements,saving balance,existing loans,Joob,Monthly income,other income,expences,Gurantor 1,Gurantor 2,Gurantor 3,Gurantor 4,reapyment status,status
1/4061,12181,no,LKR 100.00,long term,20/03/2022,house repairing,"LKR 250,000.00",17%,60,"LKR 3,667.00",no,Self employment,"LKR 49,962.25",6000,12500,ok,ok,no,no,yes,approved
1/3572,6003-2121-12142,no,LKR 100.00,long term,06/03/2024,To buy electric items,"LKR 250,000.00",14%,60,LKR 863.20,yes,Field worker,"LKR 250,000.00",no,no,ok,ok,no,no,yes,approved
1/1734,6003-2121-12153,no,LKR 100.00,long term,10/03/2024,To buy household items ,"LKR 250,000.00",23%,60,"LKR 1,009.00",no,driver,"LKR 25,000.00",1666.6,20000,ok,ok,no,no,yes,approved
1/3573,12197,no,LKR 100.00,long term,11/03/2024,To buy household items ,"LKR 250,000.00",23%,60,LKR 992.55,yes,Office assistant,"LKR 30,000.00",no,20000,ok,ok,no,no,yes,approved
1/4022,12159,no,LKR 100.00,long term,14/03/2024,To buy computer,"LKR 250,000.00",23%,60,"LKR 1,196.00",no,Work basics,"LKR 60,000.00",no,50000,ok,ok,no,no,yes,approved
9/1450,12162,no,LKR 100.00,long term,20/03/2024,To buy computer,"LKR 250,000.00",23%,60,"LKR 1,000.00",no,post officer,"LKR 59,220.40",no,25000,ok,ok,no,no,yes,approved
1/3577,12164,no,LKR 100.00,long term,29/05/2024,Mortgage payments,"LKR 250,000.00",20%,60,"LKR 4,044.94",no,Office worker,"LKR 27,114.00",18000,26183.3,ok,ok,no,no,yes,approved
1/3933,12165,no,LKR 100.00,long term,31/05/2024,To buy electric items,"LKR 200,000.00",20%,60,"LKR 58,331.15",yes,Business assitant,"LKR 40,000.00",1666.6,28333,ok,ok,no,no,yes,approved
1/4003,12166,no,LKR 100.00,long term,24/06/2024,To buy household items ,"LKR 250,000.00",20%,60,"LKR 1,317.00",yes,Senior electrician,"LKR 105,495.00",30000,43828,ok,ok,no,no,yes,approved
1/3747,12167,no,LKR 100.00,long term,27/08/2024,To buy household items ,"LKR 250,000.00",20%,60,LKR 368.40,yes,officer,"LKR 70,000.00",30000,60000,ok,ok,no,no,yes,approved
1/2063,12168,no,LKR 100.00,long term,27/08/2024,To buy electric items,"LKR 250,000.00",20%,60,"LKR 4,367.74",yes,self employement,"LKR 25,000.00",16666.6,41666,ok,ok,no,no,yes,approved
1/3724,12169,no,LKR 100.00,long term,23/10/2024,To buy electric items,"LKR 250,000.00",20%,60,LKR 204.97,yes,cashier,"LKR 45,000.00",15000,5000,ok,ok,no,no,yes,approved
1/3814,12170,no,LKR 100.00,long term,23/10/2024,Business purposes,"LKR 250,000.00",20%,60,LKR 602.00,no,businessman,"LKR 30,000.00",75000,88333,ok,ok,no,no,yes,approved
1/3110,12171,no,LKR 100.00,long term,22/10/2024,Mortgage payments,"LKR 250,000.00",20%,60,"LKR 1,507.19",no,businessman,"LKR 30,000.00",25000,18000,ok,ok,no,no,yes,approved
1/3503,12172,no,LKR 100.00,long term,27/11/2024,To buy household items ,"LKR 250,000.00",20%,60,LKR 877.45,yes,child care worker,"LKR 28,000.00",12500,33333,ok,ok,no,no,yes,approved
1/2581,12173,no,LKR 100.00,long term,23/01/2025,contruction repair ,"LKR 250,000.00",20%,60,"LKR 8,471.07",no,Assistant engineer,"LKR 18,259.00",no,no,ok,ok,no,no,yes,approved
1/3480,12174,no,LKR 100.00,long term,23/05/2025,contruction repair ,"LKR 250,000.00",17%,60,LKR 513.00,no,industrial worker,"LKR 50,107.00",no,41666,ok,ok,no,no,yes,approved
1/3540,12175,no,LKR 100.00,long term,24/06/2025,Mortgage payments,"LKR 200,000.00",17%,60,LKR 784.10,yes,development officer,"LKR 52,000.00",no,35000,ok,no,no,no,yes,approved
1/4153,12176,no,LKR 100.00,long term,24/07/2025,To buy household items ,"LKR 250,000.00",17%,60,"LKR 1,048.00",yes,Housekeeper,"LKR 32,069.00",70000,75000,ok,no,no,no,yes,approved
1/4231,12177,no,LKR 100.00,long term,24/07/2025,to sell mobilephomes,"LKR 250,000.00",17%,60,LKR 608.00,no,delivery agent,"LKR 30,000.00",30000,35000,ok,no,no,no,yes,approved
1/4237,12178,no,LKR 100.00,long term,12/08/2025,Mortgage payments,"LKR 250,000.00",17%,60,"LKR 2,104.00",no,self employment,"LKR 30,000.00",15000,20833,ok,no,no,no,yes,approved
1/3865,12179,no,LKR 100.00,long term,12/08/2025,For house renovations,"LKR 250,000.00",17%,60,LKR 405.00,no,preschool teacher,"LKR 35,000.00",20000,25000,ok,no,no,no,yes,approved
1/1780,12180,no,LKR 100.00,long term,12/08/2025,For house renovations,"LKR 250,000.00",17%,60,"LKR 1,004.00",no,painter,"LKR 50,000.00",30000,40000,ok,no,no,no,yes,approved
1/4061,12181,no,LKR 100.00,long term,12/08/2025,contruction repair ,"LKR 250,000.00",17%,60,"LKR 3,667.00",no,self employement,"LKR 25,000.00",60000,12500,ok,no,no,no,yes,approved
1/4183,12161,no,LKR 100.00,long term,24/03/2025,To buy household items ,"LKR 250,000.00",23%,60,"LKR 17,015.00",no,supervisor,"LKR 56,725.00",no,35000,ok,no,no,no,yes,approved
1/3741,12141,no,LKR 100.00,long term,02/08/2021,Mortgage payments,"LKR 250,000.00",14%,60,"LKR 4,135.00",no,self employment,"LKR 352,500.00",no,19166,ok,no,no,no,yes,approved
1/3953,10301,no,LKR 100.00,long term,25/10/2024,To buy electric items,"LKR 250,000.00",13%,60,LKR 121.11,yes,driver,"LKR 21,270.00",20000,33333,ok,no,no,no,yes,approved
1/3872,12163,no,LKR 100.00,long term,29/03/2024,To buy household items ,"LKR 250,000.00",23%,60,LKR 598.95,yes,self employment,"LKR 35,000.00",35000,25000,ok,no,no,no,no,approved
11/677,943,no,LKR 10.00,long term,05/04/1990,To start a chicken farm,"LKR 10,000.00",18%,60,LKR 50.00,no,self employment,"LKR 2,000.00",no,1250,ok,no,no,no,no,approved
1/2580,12118,no,LKR 100.00,long term,07/10/2020,To buy household items ,"LKR 250,000.00",16%,60,"LKR 1,002.00",yes,Office assistant,"LKR 27,000.00",no,12000,ok,no,no,no,no,approved
